nonce,entropy,uniqueness,zero_density,pattern_score,is_valid
3535700482,0,0,0,0,0
3535700226,0,0,0,0,0
3535699970,0,0,0,0,0
3535666946,0,0,0,0,0
3535666690,0,0,0,0,0
3535666434,0,0,0,0,0
3535666178,0,0,0,0,0
3535665922,0,0,0,0,0
3535665666,0,0,0,0,0
3535665410,0,0,0,0,0
3535665154,0,0,0,0,0
3535664898,0,0,0,0,0
3535664642,0,0,0,0,0
3535664386,0,0,0,0,0
3535664130,0,0,0,0,0
3535663874,0,0,0,0,0
3535663618,0,0,0,0,0
3535663362,0,0,0,0,0
3535663106,0,0,0,0,0
3535662850,0,0,0,0,0
3535662594,0,0,0,0,0
3535662338,0,0,0,0,0
3535662082,0,0,0,0,0
3535661826,0,0,0,0,0
3535661570,0,0,0,0,0
3535661314,0,0,0,0,0
3535661058,0,0,0,0,0
3535660802,0,0,0,0,0
3535660546,0,0,0,0,0
3535660290,0,0,0,0,0
3535660034,0,0,0,0,0
3535659778,0,0,0,0,0
3535659522,0,0,0,0,0
3535659266,0,0,0,0,0
3535659010,0,0,0,0,0
3535658754,0,0,0,0,0
3535658498,0,0,0,0,0
3535658242,0,0,0,0,0
3535657986,0,0,0,0,0
3535657730,0,0,0,0,0
3535657474,0,0,0,0,0
3535657218,0,0,0,0,0
3535656962,0,0,0,0,0
3535656706,0,0,0,0,0
3535656450,0,0,0,0,0
3535656194,0,0,0,0,0
3535655938,0,0,0,0,0
3535655682,0,0,0,0,0
3535655426,0,0,0,0,0
3535655170,0,0,0,0,0
3535654914,0,0,0,0,0
3535654658,0,0,0,0,0
3535654402,0,0,0,0,0
3535654146,0,0,0,0,0
3535653890,0,0,0,0,0
3535653634,0,0,0,0,0
3535653378,0,0,0,0,0
3535653122,0,0,0,0,0
3535652866,0,0,0,0,0
3535652610,0,0,0,0,0
3535652354,0,0,0,0,0
3535652098,0,0,0,0,0
3535651842,0,0,0,0,0
3535651586,0,0,0,0,0
3535651330,0,0,0,0,0
3535651074,0,0,0,0,0
3535650818,0,0,0,0,0
3535650562,0,0,0,0,0
3535650306,0,0,0,0,0
3535650050,0,0,0,0,0
3535649794,0,0,0,0,0
3535649538,0,0,0,0,0
3535649282,0,0,0,0,0
3535649026,0,0,0,0,0
3535648770,0,0,0,0,0
3535648514,0,0,0,0,0
3535648258,0,0,0,0,0
3535648002,0,0,0,0,0
3535647746,0,0,0,0,0
3535647490,0,0,0,0,0
3535647234,0,0,0,0,0
3535646978,0,0,0,0,0
3535646722,0,0,0,0,0
3535646466,0,0,0,0,0
3535646210,0,0,0,0,0
3535645954,0,0,0,0,0
3535645698,0,0,0,0,0
3535645442,0,0,0,0,0
3535645186,0,0,0,0,0
3535644930,0,0,0,0,0
3535644674,0,0,0,0,0
3535644418,0,0,0,0,0
3535644162,0,0,0,0,0
3535643906,0,0,0,0,0
3535643650,0,0,0,0,0
3535643394,0,0,0,0,0
3535643138,0,0,0,0,0
3535642882,0,0,0,0,0
3535642626,0,0,0,0,0
3535642370,0,0,0,0,0
3535642114,0,0,0,0,0
3535641858,0,0,0,0,0
3535641602,0,0,0,0,0
3535641346,0,0,0,0,0
3535641090,0,0,0,0,0
3535640834,0,0,0,0,0
3535640578,0,0,0,0,0
3535640322,0,0,0,0,0
3535640066,0,0,0,0,0
3535639810,0,0,0,0,0
3535639554,0,0,0,0,0
3535639298,0,0,0,0,0
3535639042,0,0,0,0,0
3535638786,0,0,0,0,0
3535638530,0,0,0,0,0
3535638274,0,0,0,0,0
3535638018,0,0,0,0,0
3535637762,0,0,0,0,0
3535637506,0,0,0,0,0
3535637250,0,0,0,0,0
3535636994,0,0,0,0,0
3535636738,0,0,0,0,0
3535636482,0,0,0,0,0
3535636226,0,0,0,0,0
3535635970,0,0,0,0,0
3535635714,0,0,0,0,0
3535635458,0,0,0,0,0
3535635202,0,0,0,0,0
3535634946,0,0,0,0,0
3535634690,0,0,0,0,0
3535634434,0,0,0,0,0
3535601410,0,0,0,0,0
3535601154,0,0,0,0,0
3535600898,0,0,0,0,0
3535600642,0,0,0,0,0
3535600386,0,0,0,0,0
3535600130,0,0,0,0,0
3535599874,0,0,0,0,0
3535599618,0,0,0,0,0
3535599362,0,0,0,0,0
3535599106,0,0,0,0,0
3535598850,0,0,0,0,0
3535598594,0,0,0,0,0
3535598338,0,0,0,0,0
3535598082,0,0,0,0,0
3535597826,0,0,0,0,0
3535597570,0,0,0,0,0
3535597314,0,0,0,0,0
3535597058,0,0,0,0,0
3535596802,0,0,0,0,0
3535596546,0,0,0,0,0
3535596290,0,0,0,0,0
3535596034,0,0,0,0,0
3535595778,0,0,0,0,0
3535595522,0,0,0,0,0
3535595266,0,0,0,0,0
3535595010,0,0,0,0,0
3535594754,0,0,0,0,0
3535594498,0,0,0,0,0
3535594242,0,0,0,0,0
3535593986,0,0,0,0,0
3535593730,0,0,0,0,0
3535593474,0,0,0,0,0
3535593218,0,0,0,0,0
3535592962,0,0,0,0,0
3535592706,0,0,0,0,0
3535592450,0,0,0,0,0
3535592194,0,0,0,0,0
3535591938,0,0,0,0,0
3535591682,0,0,0,0,0
3535591426,0,0,0,0,0
3535591170,0,0,0,0,0
3535590914,0,0,0,0,0
3535590658,0,0,0,0,0
3535590402,0,0,0,0,0
3535590146,0,0,0,0,0
3535589890,0,0,0,0,0
3535589634,0,0,0,0,0
3535589378,0,0,0,0,0
3535589122,0,0,0,0,0
3535588866,0,0,0,0,0
3535588610,0,0,0,0,0
3535588354,0,0,0,0,0
3535588098,0,0,0,0,0
3535587842,0,0,0,0,0
3535587586,0,0,0,0,0
3535587330,0,0,0,0,0
3535587074,0,0,0,0,0
3535586818,0,0,0,0,0
3535586562,0,0,0,0,0
3535586306,0,0,0,0,0
3535586050,0,0,0,0,0
3535585794,0,0,0,0,0
3535585538,0,0,0,0,0
3535585282,0,0,0,0,0
3535585026,0,0,0,0,0
3535584770,0,0,0,0,0
3535584514,0,0,0,0,0
3535584258,0,0,0,0,0
3535584002,0,0,0,0,0
3535583746,0,0,0,0,0
3535583490,0,0,0,0,0
3535583234,0,0,0,0,0
3535582978,0,0,0,0,0
3535582722,0,0,0,0,0
3535582466,0,0,0,0,0
3535582210,0,0,0,0,0
3535581954,0,0,0,0,0
3535581698,0,0,0,0,0
3535581442,0,0,0,0,0
3535581186,0,0,0,0,0
3535580930,0,0,0,0,0
3535580674,0,0,0,0,0
3535580418,0,0,0,0,0
3535580162,0,0,0,0,0
3535579906,0,0,0,0,0
3535579650,0,0,0,0,0
3535579394,0,0,0,0,0
3535579138,0,0,0,0,0
3535578882,0,0,0,0,0
3535578626,0,0,0,0,0
3535578370,0,0,0,0,0
3535578114,0,0,0,0,0
3535577858,0,0,0,0,0
3535577602,0,0,0,0,0
3535577346,0,0,0,0,0
3535577090,0,0,0,0,0
3535576834,0,0,0,0,0
3535576578,0,0,0,0,0
